Model,Moisture_R2,Moisture_RMSE,Moisture_MAE,Starch_R2,Starch_RMSE,Starch_MAE,Oil_R2,Oil_RMSE,Oil_MAE,Protein_R2,Protein_RMSE,Protein_MAE,Avg_R2,Avg_RMSE
PLS,0.5712975551191752,0.1909313373552505,0.1553390253933248,0.0784848069673334,0.1251618661871977,0.1018030204623414,0.4534323571895488,0.2946175876787396,0.2367071022182762,0.2887100542860167,0.5466457858219357,0.4299821240917131,0.3479811933905185,0.2893391442607809
Ridge,0.5846038147577386,0.1879448744573027,0.153987281744229,0.1912059696173399,0.117257261877261,0.0965678515238135,0.4571490756482299,0.2936141633592117,0.2394287244523036,0.2809365148092727,0.5496247576933702,0.4368198802835613,0.3784738437081453,0.2871102643467864
SVR,0.4615690927273166,0.2139755863549886,0.1718692824129726,0.1548039998374198,0.1198669615031754,0.0983505917835416,0.1144456091584594,0.3750112797236006,0.2994952737859132,0.0219740196109026,0.6409997575764234,0.5018829027690619,0.1881981803335246,0.337463396289547
MLP,0.5917457963748702,0.1863221843349461,0.149900345988314,0.15978582145491,0.1195131747047812,0.0960164248237561,0.3900792067862731,0.3112242507827878,0.2398132668912869,0.1883875341438589,0.583924938846965,0.4516720981744027,0.332499589689978,0.30024613716737
CNN,0.6108823200813622,0.1819029391228994,0.1452404777858545,0.3542006908083368,0.1047778706098974,0.0843960331935127,0.376224312558778,0.3147392692521505,0.250014152456056,0.2369628299779147,0.5661812940008848,0.4538752814134285,0.3945675383565979,0.2919003432464581
Basic Transformer,0.5560596060446525,0.1942949737632046,0.1545730837080273,0.2509873594319123,0.1128405913759727,0.0936950884961456,0.4478090855529519,0.2961292718381562,0.2329605717895457,0.2899638945691526,0.5461637680238794,0.4265320520778634,0.3862049863996674,0.2873571512503032
XGBoost,0.5054571656499964,0.2050695560208468,0.1666671025201235,0.1712716697054985,0.1186934826239266,0.0975717484968173,0.1649859862556484,0.3641527487346915,0.2974290975625228,0.0742065836941011,0.6236482578436576,0.4949859861625333,0.2289803513263111,0.3278910113057807
LSTTN,0.6315612964840557,0.1770035012518078,0.1431097884311872,0.3107261264346295,0.1082472042905762,0.0876404423249961,0.3849028234597551,0.3125421368961916,0.2481547549354808,0.252212440243329,0.5604950576850112,0.4483051153837539,0.3948506716554423,0.2895719750308967
Optimized-LSTTN,0.6354573797930976,0.1732899963594668,0.1395043198131558,0.5815417310483724,0.0967387615863127,0.0771825981502219,0.5499187742711722,0.2513545939083341,0.2008195799736852,0.4411416259843436,0.4863629536933019,0.3901368513521521,0.5520148777742464,0.2519365763868539
